model,seed,gradient_step,train_loss,validation_trajectory_rmse_rad_s,epsilon
gru_residual,19,250,2.0089472960605342e-07,0.2703113782043403,0.0
gru_residual,19,275,1.6842146593631725e-07,0.24897119120374683,0.0
gru_residual,19,300,1.4291779249182248e-07,0.23060044628040313,0.0
gru_residual,19,325,1.2256080581884498e-07,0.21462258806084736,0.0
gru_residual,19,350,1.0608406110737282e-07,0.20060414199215795,0.0
gru_residual,19,375,9.258561709062332e-08,0.18821332587148087,0.0
gru_residual,19,400,8.141087676756526e-08,0.1771907586426072,0.0
gru_residual,19,425,7.207395860361645e-08,0.16733130481113745,0.0
gru_residual,19,450,6.420834987950135e-08,0.15846919470655857,0.0
gru_residual,19,475,5.75327277110822e-08,0.150468535499813,0.0
gru_residual,19,500,5.182821737118377e-08,0.14321625292731482,0.0
gru_residual,19,525,4.6922178953369436e-08,0.13661708809692086,0.0
gru_residual,19,550,4.2677178328054076e-08,0.13058974174001006,0.0
gru_residual,19,575,3.8982504325176206e-08,0.12506557814226205,0.0
gru_residual,19,600,3.574860898884996e-08,0.11998446053452172,0.0
gru_residual,19,625,3.2902446726039613e-08,0.11529485210132351,0.0
gru_residual,19,650,3.038417181600788e-08,0.11095143487247329,0.0
gru_residual,19,675,2.814439529286454e-08,0.10691534472198004,0.0
gru_residual,19,700,2.614236595853091e-08,0.1031528038575713,0.0
gru_residual,19,725,2.434420902738344e-08,0.09963346701781492,0.0
gru_residual,19,750,2.2721803728488036e-08,0.09633214363060366,0.0
gru_residual,19,775,2.1251544444168084e-08,0.09322602143993056,0.0
gru_residual,19,800,1.9913734262170485e-08,0.09029543302159479,0.0
gru_residual,19,825,1.8691745501367124e-08,0.08752372821911743,0.0
gru_residual,19,850,1.757164257011085e-08,0.08489531697586039,0.0
gru_residual,19,875,1.654150350218569e-08,0.08239752471714143,0.0
gru_residual,19,900,1.5591259641051098e-08,0.08001895393701496,0.0
gru_residual,19,925,1.47122570504194e-08,0.07774948636334711,0.0
gru_residual,19,950,1.3897137484095432e-08,0.07558046312387123,0.0
gru_residual,19,975,1.313951554988593e-08,0.07350395283530718,0.0
gru_residual,19,1000,1.2433843254065339e-08,0.0715131956624308,0.0
gru_residual,31,1,0.004856401901796052,35.48069002857005,0.0
gru_residual,31,25,4.426723190861805e-05,3.675248220045025,0.0
gru_residual,31,50,4.614443799443847e-06,1.2238439312719402,0.0
gru_residual,31,75,1.3318352093076795e-06,0.6536227923367921,0.0
gru_residual,31,100,7.164620811059845e-07,0.4861779392399716,0.0
gru_residual,31,125,4.7625002658641344e-07,0.4027233346079697,0.0
gru_residual,31,150,3.427440697973779e-07,0.3465071210878599,0.0
gru_residual,31,175,2.5834590793270605e-07,0.30454222540428344,0.0
gru_residual,31,200,2.017157491787694e-07,0.2721604571165376,0.0
gru_residual,31,225,1.6212737667600632e-07,0.24651973727127274,0.0
gru_residual,31,250,1.3353916543275043e-07,0.225766931160308,0.0
gru_residual,31,275,1.1231323745713877e-07,0.20866324405230025,0.0
gru_residual,31,300,9.615306248472044e-08,0.19432755064748822,0.0
gru_residual,31,325,8.355874456436336e-08,0.18211509869771764,0.0
gru_residual,31,350,7.352487071935165e-08,0.17154994882608046,0.0
gru_residual,31,375,6.536422952182412e-08,0.1622753241344981,0.0
gru_residual,31,400,5.8599652994599305e-08,0.15402580380421266,0.0
gru_residual,31,425,5.289576820000719e-08,0.14660161510728537,0.0
gru_residual,31,450,4.8098998010021795e-08,0.14098675127381216,0.0
gru_residual,31,475,4.3779964253700556e-08,0.1336998750142483,0.0
gru_residual,31,500,4.0070358413481386e-08,0.12794376702894253,0.0
gru_residual,31,525,3.677827598233305e-08,0.12262691909903874,0.0
gru_residual,31,550,3.384962547896806e-08,0.11766929481471061,0.0
gru_residual,31,575,3.1224582311215286e-08,0.11302657525927513,0.0
gru_residual,31,600,2.885989485247723e-08,0.10866596787383993,0.0
gru_residual,31,625,2.672149293438705e-08,0.10456063479095487,0.0
gru_residual,31,650,2.4781528926820822e-08,0.10068863567196809,0.0
gru_residual,31,675,2.301677032332926e-08,0.09703078298032823,0.0
gru_residual,31,700,2.3927801496607364e-08,0.09446008762745667,0.0
gru_residual,31,725,2.0076966560246217e-08,0.09072506415799113,0.0
gru_residual,31,750,1.8591765520224058e-08,0.08719995084310171,0.0
gru_residual,31,775,1.7358500285077954e-08,0.08423864389006723,0.0
gru_residual,31,800,1.622388131345718e-08,0.08143292972403492,0.0
gru_residual,31,825,1.5180871170834363e-08,0.0787665663132481,0.0
gru_residual,31,850,1.4219778192569742e-08,0.07622771944330634,0.0
gru_residual,31,875,1.3332864025574604e-08,0.07380837814179175,0.0
gru_residual,31,900,1.2513195975548507e-08,0.07149956929032826,0.0
gru_residual,31,925,1.1754597068933324e-08,0.06929507708331571,0.0
gru_residual,31,950,1.2539894319218146e-08,0.07362808677705847,0.0
gru_residual,31,975,1.0433460213013636e-08,0.06536182053288887,0.0
gru_residual,31,1000,9.826758713364299e-09,0.06330216379976922,0.0
jepa_residual,7,1,0.049759872478868976,39.187037101763806,0.0
jepa_residual,7,25,0.008942224534700532,12.669348227946932,0.0
jepa_residual,7,50,0.002135920653180714,4.123455559769625,0.0
jepa_residual,7,75,0.0009679342644346179,1.9776525844884048,0.0
jepa_residual,7,100,0.0008972072033256271,1.1647748389149664,0.0
jepa_residual,7,125,0.000983180929264423,0.760134530936612,0.0
jepa_residual,7,150,0.0005784830967154071,0.4605119999776029,0.0
jepa_residual,7,175,0.00039430213743657316,0.3831760558034042,0.0
jepa_residual,7,200,0.0007662395408819049,0.4337433542030496,0.0
jepa_residual,7,225,0.0008513604293018367,0.7416360097969086,0.0
jepa_residual,7,250,0.0005325325063559196,0.5031315777326124,0.0
jepa_residual,7,275,0.0003340809707159707,0.4802870460778912,0.0
jepa_residual,7,300,0.000310649656880272,0.5586924061777894,0.0
jepa_residual,7,325,0.0004786042244965653,0.3519899472004129,0.0
jepa_residual,7,350,0.0002796823511813386,0.41812119615275894,0.0
jepa_residual,7,375,0.00023723753051123475,0.35310977084115364,0.0
jepa_residual,7,400,0.00028977962646538135,0.3304629373021278,0.0
jepa_residual,7,425,0.00032118461186808985,0.4907783566730001,0.0
jepa_residual,7,450,0.0002636140782281385,0.4290331863988712,0.0
jepa_residual,7,475,0.0003322305754633069,0.47508774161512146,0.0
jepa_residual,7,500,0.00020779691810692382,0.47475170424362445,0.0
jepa_residual,7,525,0.00030529671302067954,0.5578817329415919,0.0
jepa_residual,7,550,0.0004211037198520038,0.4557811575127772,0.0
jepa_residual,7,575,0.0002816499487193023,0.6835145118626332,0.0
jepa_residual,7,600,0.00024880365980472976,0.4529790866756138,0.0
jepa_residual,7,625,0.0003476378147213328,0.45452112634727393,0.0
jepa_residual,7,650,0.0004529565889372253,0.5419822071012653,0.0
jepa_residual,7,675,0.0004437558462708956,0.5760948365331513,0.0
jepa_residual,7,700,0.00033808250620204124,0.42390011523244,0.0
jepa_residual,7,725,0.0003094101292785813,0.4201351813282244,0.0
jepa_residual,7,750,0.00025884647802418455,0.48501447887336924,0.0
jepa_residual,7,775,0.00022469905298737268,0.4716866622980527,0.0
jepa_residual,7,800,0.0002741242826580755,0.37186639452947484,0.0
jepa_residual,7,825,0.00019978395286688406,0.4101913565205365,0.0
jepa_residual,7,850,0.00028770735538808577,0.42743365404827466,0.0
jepa_residual,7,875,0.00032141386657173445,0.480852575695277,0.0
jepa_residual,7,900,0.0003176159781249839,0.45299235166770424,0.0
jepa_residual,7,925,0.00020291793004446358,0.41140153944735436,0.0
jepa_residual,7,950,0.0002722662796041016,0.46184084752900245,0.0
jepa_residual,7,975,0.00022182373307280087,0.46731962997454113,0.0
jepa_residual,7,1000,0.00028134809108273874,0.5777712372428832,0.0
jepa_residual,19,1,0.04617433987899281,35.73615638963067,0.0
jepa_residual,19,25,0.01325781014457725,9.354717335105054,0.0
jepa_residual,19,50,0.0019861678408506977,3.9589426266626853,0.0
jepa_residual,19,75,0.0009780867584180792,2.1690242626126004,0.0
jepa_residual,19,100,0.0007804087332226674,1.0525599933247949,0.0
jepa_residual,19,125,0.0006921059726555062,0.7351858696527843,0.0
jepa_residual,19,150,0.0008090592133587048,0.6462443912254606,0.0
jepa_residual,19,175,0.0005610519832420212,0.7824439365087396,0.0
jepa_residual,19,200,0.0004982133345083426,0.6549363174627759,0.0
jepa_residual,19,225,0.0004899559151932015,1.256544449055748,0.0
jepa_residual,19,250,0.0005127003328630491,0.7021678842217619,0.0
jepa_residual,19,275,0.0006445794996469627,1.2549798186304792,0.0
jepa_residual,19,300,0.0005033719213841955,1.0304279142547361,0.0
jepa_residual,19,325,0.0004529410768503767,0.9954557169957083,0.0
jepa_residual,19,350,0.0006910994818340742,1.1147296191121248,0.0
jepa_residual,19,375,0.0003892967441622119,0.868151770749608,0.0
jepa_residual,19,400,0.0005899017110392002,0.6158699192034038,0.0
jepa_residual,19,425,0.000430159490104762,0.9246548015093065,0.0
jepa_residual,19,450,0.0006156095068539425,0.8249372580351353,0.0
jepa_residual,19,475,0.0004362429341807757,0.7759956932033724,0.0
jepa_residual,19,500,0.00032073258330054703,0.882005273074781,0.0
jepa_residual,19,525,0.000615501802801059,1.0448955659728563,0.0
jepa_residual,19,550,0.0002705206932750414,0.6415751812724431,0.0
jepa_residual,19,575,0.0003711503856408788,0.8095123520198333,0.0
jepa_residual,19,600,0.0004653634991242968,0.9729872500060922,0.0
jepa_residual,19,625,0.00053776437995917,0.9197780448731967,0.0
jepa_residual,19,650,0.0005136757681924209,0.7592548059575092,0.0
jepa_residual,19,675,0.00042068973943465996,0.8657822394690268,0.0
jepa_residual,19,700,0.000253190256764186,0.8307082164298419,0.0
jepa_residual,19,725,0.0003100487810450159,0.7345274177036814,0.0
jepa_residual,19,750,0.00033758851480586894,0.7000864407384583,0.0
jepa_residual,19,775,0.00030878766851720127,0.7994046869206409,0.0
jepa_residual,19,800,0.0003488850784505681,0.5960005224557974,0.0
jepa_residual,19,825,0.00025809896232808046,0.756519708294638,0.0
jepa_residual,19,850,0.00028891773477499234,0.6060076865611881,0.0
jepa_residual,19,875,0.0003419073224060345,0.6569278887169173,0.0
jepa_residual,19,900,0.00040728630454010676,0.742566233892662,0.0
jepa_residual,19,925,0.0005210183107579489,0.5878961459409141,0.0
jepa_residual,19,950,0.0004290864208874333,0.8721544296441827,0.0
jepa_residual,19,975,0.000359340754455118,0.6460231527674559,0.0
jepa_residual,19,1000,0.00034399646191067123,0.731192872831111,0.0
jepa_residual,31,1,0.04802633610236701,37.13878568241804,0.0
jepa_residual,31,25,0.009145709605069108,14.417714223839694,0.0
jepa_residual,31,50,0.0015053254636081673,4.707187592006476,0.0
jepa_residual,31,75,0.0006466327070624581,2.158063378843966,0.0
jepa_residual,31,100,0.0012073691106333933,1.2973958520215876,0.0
jepa_residual,31,125,0.0004227664980337143,1.0729488342536795,0.0
jepa_residual,31,150,0.0006303412178040729,0.6541023943710723,0.0
jepa_residual,31,175,0.00031510222997233875,0.4681817499611132,0.0
jepa_residual,31,200,0.000369625585922286,0.5656831129198684,0.0
jepa_residual,31,225,0.00028189786783740266,0.43423530156954204,0.0
jepa_residual,31,250,0.000536788645782707,0.6116349172304733,0.0
jepa_residual,31,275,0.00043275809288481257,1.0948043813814448,0.0
jepa_residual,31,300,0.0004030179304472805,0.7204391303372571,0.0
jepa_residual,31,325,0.0003438399667257824,1.2361177709158617,0.0
jepa_residual,31,350,0.00027401560487926626,0.7759254002305035,0.0
jepa_residual,31,375,0.00030061323462955854,0.8007948722219045,0.0
jepa_residual,31,400,0.000333393287158778,0.7479243123068118,0.0
jepa_residual,31,425,0.0003392460509852902,1.0857801572095285,0.0
jepa_residual,31,450,0.0003754604271143317,0.6438207550661025,0.0
jepa_residual,31,475,0.0004537537634926224,0.7255948163164436,0.0
jepa_residual,31,500,0.00023287113516930278,0.4310850602713215,0.0
jepa_residual,31,525,0.0003696314375978026,0.6590703417377819,0.0
jepa_residual,31,550,0.00030662328551325763,0.7170466214150112,0.0
jepa_residual,31,575,0.0003143599390546016,0.753015965011581,0.0
jepa_residual,31,600,0.00029790523096011166,0.6634313841116984,0.0
jepa_residual,31,625,0.0003422850586996732,0.6949593100310902,0.0
jepa_residual,31,650,0.0003275525327437848,0.791110185334083,0.0
jepa_residual,31,675,0.00038479166311963776,0.6688875925354506,0.0
jepa_residual,31,700,0.0002856747871407251,1.2810743855448277,0.0
jepa_residual,31,725,0.0003277223199589797,0.963434001533895,0.0
jepa_residual,31,750,0.0004189254029436034,0.8047296247360498,0.0
jepa_residual,31,775,0.0003169966321295057,1.1196985754279651,0.0
