variant,seed,rmse_rad_s,r2,skill_vs_persistence,rmse_ci95_low_rad_s,rmse_ci95_high_rad_s,final_latent_loss,gradient_steps
context_probe,7,27.107030885815547,0.3941410005189603,-283.76377551349754,21.403744237948686,32.47773064084277,1.5767394870636053e-05,180
context_probe,17,25.0012680892179,0.4846150453779726,-241.23947427822935,20.224000022951593,29.399067196433474,8.096345482044853e-06,180
context_probe,27,26.303330399582975,0.429534818152706,-267.1280943602013,21.4367857662459,30.721253469000473,7.540928436355898e-06,180
predicted_latent_probe,7,31.00791274344671,0.2072199210469906,-371.61978220662314,24.154569132638713,37.31914694258116,1.5767394870636053e-05,180
predicted_latent_probe,17,29.25393538035731,0.29437126580417683,-330.6572051129549,23.21459414517781,34.930276244228324,8.096345482044853e-06,180
predicted_latent_probe,27,31.788408225174877,0.16680774316349156,-390.614175886812,24.963857980351527,38.09910270594078,7.540928436355898e-06,180
action_conditioned_latent_probe,7,28.498467732777723,0.3303456685965964,-313.74863930839047,22.50328923859747,34.161043565165286,3.992732217739103e-06,180
action_conditioned_latent_probe,17,33.88090457028732,0.053506456503371824,-443.8676592674488,26.335949181966555,40.83247271110198,4.210526185488561e-06,180
action_conditioned_latent_probe,27,31.08933410178041,0.2030510510607253,-373.57922022426527,24.463642417295738,37.28432677127875,4.065085704496596e-06,180
physics_residual_probe,7,0.9072610443582275,0.9993213088447099,0.6810039036251363,0.7175535229414404,1.0890507619213146,1.5767394870636053e-05,180
physics_residual_probe,17,1.0726241684762032,0.9990513569731653,0.5541220479230372,0.8737738617639195,1.2552319930864289,8.096345482044853e-06,180
physics_residual_probe,27,1.0732505334465776,0.9990502487187157,0.5536011499557819,0.8560387309172672,1.274059450301627,7.540928436355898e-06,180
physics_residual_mlp,7,0.4987699683298696,0.9997948798836083,0.9035901441960821,0.3954446372049164,0.5982135918961032,1.5767394870636053e-05,180
physics_residual_mlp,17,0.47941588586030454,0.9998104898377591,0.9109270814758706,0.383862152223606,0.5686423408480938,8.096345482044853e-06,180
physics_residual_mlp,27,0.461989287864146,0.9998240166934135,0.9172849279224277,0.36646021794727096,0.5503531643136219,7.540928436355898e-06,180
direct_endpoint_regression,2026,1.0081712769575146,0.9991619377041158,0.606096825010588,0.8063599930215054,1.1992971353198876,,
nominal_analytical,,0.46068821600010307,0.9998250065194638,0.9177501625783808,0.36970742289311725,0.5453199310264742,,
true_parameter_oracle,,3.1919255845938555e-05,0.9999999999991599,0.9999999996051553,2.781217416816621e-05,3.578105767852098e-05,,
