variant,mean_rmse_rad_s,std_rmse_rad_s,n_runs
context_probe,26.137209791538808,1.0626647077965894,3
predicted_latent_probe,30.683418782992963,1.2980217248018737,3
action_conditioned_latent_probe,31.156235468281817,2.6918420128371014,3
physics_residual_probe,1.017711915427003,0.09565377291647957,3
physics_residual_mlp,0.48005838068477336,0.01839875576173609,3
direct_endpoint_regression,1.0081712769575146,0.0,1
nominal_analytical,0.46068821600010307,0.0,1
true_parameter_oracle,3.1919255845938555e-05,0.0,1
