epsilon,sequence_index,method,full_trajectory_rmse_rad_s,ode_residual_N_m
0,0,rk4_oracle,0.0,13.170619862742255
0,0,nominal_physics,230.94428259759636,0.7789406436874856
0,0,calibrated_physics,3.766482199005811e-11,13.170619862740217
0,1,rk4_oracle,0.0,14.185694067800574
0,1,nominal_physics,255.18350259156614,0.6435695025164287
0,1,calibrated_physics,4.3438277871539047e-11,14.185694067802682
0,2,rk4_oracle,0.0,14.920323963439799
0,2,nominal_physics,269.62993914513737,1.0658903443352954
0,2,calibrated_physics,2.6538264359178067e-11,14.920323963438474
0,3,rk4_oracle,0.0,14.101786663134122
0,3,nominal_physics,245.98597563925475,0.2765718883262876
0,3,calibrated_physics,2.8655764671680414e-11,14.101786663135684
0,4,rk4_oracle,0.0,13.58256343365511
0,4,nominal_physics,234.16424123742868,0.08093166335657444
0,4,calibrated_physics,4.003630486533715e-11,13.582563433653357
0,5,rk4_oracle,0.0,12.881147917180005
0,5,nominal_physics,245.61200287089508,0.1474917314530561
0,5,calibrated_physics,1.4152840852072384e-11,12.881147917180717
0,6,rk4_oracle,0.0,13.868185960838936
0,6,nominal_physics,218.7311470912498,0.4043048236901169
0,6,calibrated_physics,4.449860324697426e-11,13.868185960836556
0,7,rk4_oracle,0.0,13.755228821402492
0,7,nominal_physics,242.96014303040639,0.3977581050809964
0,7,calibrated_physics,3.833540687076129e-11,13.755228821400634
0,8,rk4_oracle,0.0,12.854601430847602
0,8,nominal_physics,241.55233679468213,0.9883346726357969
0,8,calibrated_physics,5.453498748897765e-11,12.854601430850295
0,9,rk4_oracle,0.0,15.04628576977888
0,9,nominal_physics,260.93329245957665,0.6824954116020561
0,9,calibrated_physics,7.932785646487433e-11,15.046285769783177
0,10,rk4_oracle,0.0,12.752783606859028
0,10,nominal_physics,242.44288388798654,1.0700878496885635
0,10,calibrated_physics,5.307558752944789e-11,12.752783606861621
0,11,rk4_oracle,0.0,13.472433013415458
0,11,nominal_physics,223.94478594437666,0.9420761015274303
0,11,calibrated_physics,1.8573412253309237e-11,13.47243301341642
0,12,rk4_oracle,0.0,11.270613067882502
0,12,nominal_physics,218.50086666746253,1.0422347392950073
0,12,calibrated_physics,9.614690853802972e-12,11.270613067882836
0,13,rk4_oracle,0.0,13.6739240049697
0,13,nominal_physics,235.77989253965,0.02076237422510536
0,13,calibrated_physics,2.81916111491951e-11,13.673924004971227
0,14,rk4_oracle,0.0,11.451113720770408
0,14,nominal_physics,220.93231679998394,0.7550970426318396
0,14,calibrated_physics,1.0756525865334655e-11,11.45111372077095
0,15,rk4_oracle,0.0,13.84044900577253
0,15,nominal_physics,268.3565149709761,0.8821853340769987
0,15,calibrated_physics,6.236470498916986e-12,13.840449005772197
0,16,rk4_oracle,0.0,12.120699816977234
0,16,nominal_physics,236.9901495402248,0.7809025410449292
0,16,calibrated_physics,2.0265800783295373e-11,12.12069981697641
0,17,rk4_oracle,0.0,14.282697258433851
0,17,nominal_physics,271.43687181753364,0.9128732322611163
0,17,calibrated_physics,7.400404888577367e-12,14.282697258434228
0,18,rk4_oracle,0.0,16.422315806297657
0,18,nominal_physics,248.38773517159314,0.6216153173810193
0,18,calibrated_physics,2.868864429427962e-11,16.42231580629626
0,19,rk4_oracle,0.0,14.678976744593179
0,19,nominal_physics,259.40939092537525,0.825541703848858
0,19,calibrated_physics,3.68140697191156e-11,14.678976744595257
0,20,rk4_oracle,0.0,14.208274596313409
0,20,nominal_physics,226.5490144046449,0.3055753405474538
0,20,calibrated_physics,5.0498695814046235e-11,14.208274596316196
0,21,rk4_oracle,0.0,13.862266465998742
0,21,nominal_physics,235.30440942376293,0.041796843267288386
0,21,calibrated_physics,1.2104163130420386e-11,13.862266465999369
0,22,rk4_oracle,0.0,16.369831413616883
0,22,nominal_physics,248.70634218697737,0.09599348900937586
0,22,calibrated_physics,1.5831796766720122e-11,16.369831413616
0,23,rk4_oracle,0.0,12.782431987320585
0,23,nominal_physics,194.49799247133578,0.9674114536770655
0,23,calibrated_physics,1.8917673945142935e-11,12.78243198731961
0,24,rk4_oracle,0.0,16.22375233930877
0,24,nominal_physics,257.6683332966346,0.17489027429382592
0,24,calibrated_physics,2.1958645763044854e-11,16.22375233930979
0,25,rk4_oracle,0.0,14.085064685411176
0,25,nominal_physics,252.54310402999556,0.33453416260246494
0,25,calibrated_physics,6.056597346805769e-11,14.085064685414121
0,26,rk4_oracle,0.0,12.329047815637244
0,26,nominal_physics,236.78822282100947,0.9087054621966892
0,26,calibrated_physics,3.863983514802338e-11,12.329047815639186
0,27,rk4_oracle,0.0,14.077983963130926
0,27,nominal_physics,234.97505973093675,0.8668467186709535
0,27,calibrated_physics,1.7089252784458234e-11,14.077983963131729
0,28,rk4_oracle,0.0,14.199017968264108
0,28,nominal_physics,214.97513540347342,0.19259456352848486
0,28,calibrated_physics,2.741886207150314e-11,14.199017968265554
0,29,rk4_oracle,0.0,15.040978829110426
0,29,nominal_physics,238.6574844666573,0.9396443747467036
0,29,calibrated_physics,4.579030886769935e-11,15.04097882910805
0.02,0,rk4_oracle,0.0,15.124508771276215
0.02,0,nominal_physics,235.56237699809574,0.7851037798905347
0.02,0,calibrated_physics,0.0006339675924300655,15.12454068668579
0.02,1,rk4_oracle,0.0,13.473615671715898
0.02,1,nominal_physics,205.30985670884053,0.9567454346737513
0.02,1,calibrated_physics,0.000550148056344082,13.473643043037644
0.02,2,rk4_oracle,0.0,12.265113713965118
0.02,2,nominal_physics,225.7902867171783,0.5099289594610176
0.02,2,calibrated_physics,0.00034250792990531495,12.265130693883245
0.02,3,rk4_oracle,0.0,14.714984972278138
0.02,3,nominal_physics,225.42552957241543,0.5156384106452037
0.02,3,calibrated_physics,0.0005001963711846055,14.715011324609263
0.02,4,rk4_oracle,0.0,12.514498151798563
0.02,4,nominal_physics,203.65531543178162,0.37900641238869665
0.02,4,calibrated_physics,0.0004175757668521376,12.514519028610406
0.02,5,rk4_oracle,0.0,12.68067395771356
0.02,5,nominal_physics,211.55356680097918,0.48987005798979383
0.02,5,calibrated_physics,0.00027862954692966466,12.680689131373004
0.02,6,rk4_oracle,0.0,11.697781724520091
0.02,6,nominal_physics,205.67527234813457,0.38721455984864905
0.02,6,calibrated_physics,0.00046950422814405983,11.697803347993107
0.02,7,rk4_oracle,0.0,12.563898713872327
0.02,7,nominal_physics,208.84941996729592,0.16537140388168647
0.02,7,calibrated_physics,0.00039352671819935887,12.563918530612561
0.02,8,rk4_oracle,0.0,12.644269707832667
0.02,8,nominal_physics,234.12961647918337,0.3773119660376398
0.02,8,calibrated_physics,0.00040201501436289,12.644289169236476
0.02,9,rk4_oracle,0.0,14.240225168575813
0.02,9,nominal_physics,232.78772533392595,0.3712677628262806
0.02,9,calibrated_physics,0.0003611423604691005,14.240244855731984
0.02,10,rk4_oracle,0.0,13.393040798333708
0.02,10,nominal_physics,220.43183010323537,0.5211452931153712
0.02,10,calibrated_physics,0.0002979270963750396,13.393057251127704
0.02,11,rk4_oracle,0.0,12.817186906685475
0.02,11,nominal_physics,228.9348460627736,0.04813951497458398
0.02,11,calibrated_physics,0.00047285811019870665,12.817209410988673
0.02,12,rk4_oracle,0.0,13.81288961386847
0.02,12,nominal_physics,249.99762326482863,0.4889504321486271
0.02,12,calibrated_physics,0.00043109866728042475,13.812911148189578
0.02,13,rk4_oracle,0.0,15.631005230120044
0.02,13,nominal_physics,237.84031409741877,0.7173510068676432
0.02,13,calibrated_physics,0.0006021691330730602,15.631036584205983
0.02,14,rk4_oracle,0.0,11.062967227088906
0.02,14,nominal_physics,214.99219162943544,0.7366042992106874
0.02,14,calibrated_physics,0.00027635241375339423,11.06298069903313
0.02,15,rk4_oracle,0.0,11.06574983408884
0.02,15,nominal_physics,208.3322206858391,0.2688648270978362
0.02,15,calibrated_physics,0.0003364065059630537,11.065765714020035
0.02,16,rk4_oracle,0.0,15.155475901881974
0.02,16,nominal_physics,252.96495016073544,0.0037481997937660696
0.02,16,calibrated_physics,0.0005263012591591865,15.15550285812101
0.02,17,rk4_oracle,0.0,15.901616113384184
0.02,17,nominal_physics,237.96955322773655,0.8789847849590499
0.02,17,calibrated_physics,0.0006390178258756498,15.901649397896035
0.02,18,rk4_oracle,0.0,15.582736501792422
0.02,18,nominal_physics,258.99797004955394,0.6172662697703002
0.02,18,calibrated_physics,0.0004132243928708228,15.582759123484545
0.02,19,rk4_oracle,0.0,15.842966028238864
0.02,19,nominal_physics,249.82071163672535,0.22873359914440486
0.02,19,calibrated_physics,0.00043625647511009655,15.842990237565562
0.02,20,rk4_oracle,0.0,12.626014680535576
0.02,20,nominal_physics,222.09784560237082,0.12305303271866165
