configuration,seed,gradient_step,trajectory_loss,latent_loss,ode_loss,variance_loss,total_loss,validation_trajectory_rmse_rad_s
baseline,7,1,0.006254211585479915,0.8702998161315918,17912.271234356267,0.9883099794387817,0.049769204627233686,39.225525049206354
baseline,7,25,0.0005209065373374596,0.16890139877796173,1387.6235732053287,0.9673680663108826,0.00896597666250006,12.643059249369053
baseline,7,50,5.197584048398164e-05,0.0390828438103199,133.38219845013361,0.9735187292098999,0.0020061180775661053,4.238760040977388
baseline,7,75,1.2262386173238195e-05,0.018293896690011024,32.80554280829142,0.9846708178520203,0.0009269572439568538,1.973702672760393
baseline,7,100,5.0798114013185075e-06,0.016582513228058815,12.921817890195154,0.9870721697807312,0.0008342055077288558,1.1413208012611067
baseline,7,125,1.1969389113058235e-06,0.011528033763170242,3.029658312437219,0.9863671064376831,0.0005775986503528824,0.9155749424169966
baseline,7,150,6.560717069347413e-07,0.009166864678263664,1.4935949564795157,0.9849522113800049,0.00045899931726165014,0.6232194460538102
baseline,7,175,5.217749600495182e-07,0.006756470538675785,1.1340765239245363,0.9826375246047974,0.00033834530189383874,0.44037612551333954
baseline,7,200,7.919110647689678e-07,0.00919943768531084,1.9113140027826734,0.980950117111206,0.0004607638069718432,0.49482655567414446
baseline,7,225,6.015488877455565e-07,0.007689596153795719,1.1732029201973593,0.9806118011474609,0.0003850813682190637,0.49950502804249236
baseline,7,250,1.122019840507984e-06,0.006030356977134943,2.882491745534889,0.9806904792785645,0.0003026398861595534,0.762442887941797
baseline,7,275,5.268180065912803e-07,0.005113840103149414,1.1499726768975607,0.9808351397514343,0.00025621884062636025,0.48456409906045894
baseline,7,300,1.3570839729746662e-06,0.00904980767518282,3.2426299610276232,0.9811232089996338,0.00045384746191134956,0.6836862433499398
baseline,7,325,6.565986443967834e-07,0.005892849527299404,1.431462829688151,0.9815050959587097,0.00029529909247166526,0.7074341729457989
baseline,7,350,1.766544848285505e-06,0.011414589360356331,4.504850079636214,0.9817997813224792,0.0005724960361491664,0.7035210156928031
baseline,7,375,1.1290878025036269e-06,0.005759093444794416,2.8316297126534202,0.9822589755058289,0.0002890837542214584,0.6339357196297302
baseline,7,400,6.866803522854006e-07,0.005208869930356741,1.595995201733703,0.9826411604881287,0.00026113019433242075,0.5118289606607478
baseline,7,425,7.396398708555627e-07,0.007660632487386465,1.7014766046354117,0.9828246831893921,0.0003837712817024771,0.4122128045978344
baseline,7,450,6.348297245459413e-07,0.004194089211523533,1.5951003783639044,0.9830033183097839,0.00021033929321110563,0.43480043500002635
