epsilon,method,horizon_steps,horizon_seconds,trajectory_rmse_rad_s,trajectory_rmse_ci95_low_rad_s,trajectory_rmse_ci95_high_rad_s
0.0,nominal_physics,10,0.1,3.169272736585046,2.4834761465575483,3.804255163369381
0.0,nominal_physics,50,0.5,7.428978809438387,5.830190654929695,8.919436154686302
0.0,nominal_physics,100,1.0,7.177050899035323,5.596219056047945,8.661662316253892
0.0,nominal_physics,200,2.0,5.392056481200602,4.193223886914885,6.536995701241041
0.0,calibrated_physics,10,0.1,2.35326054893608e-05,1.854299552963269e-05,2.842351252854804e-05
0.0,calibrated_physics,50,0.5,0.0001167381877700321,9.079849638901105e-05,0.00014219277414328685
0.0,calibrated_physics,100,1.0,0.00022261498605493269,0.00017216106663201094,0.00027223608062481176
0.0,calibrated_physics,200,2.0,0.0003374555896789585,0.0002575953436483265,0.0004157193488938173
0.0,gru_residual_seed7,10,0.1,0.06556508050509191,0.05295767940286377,0.07721560255932024
0.0,gru_residual_seed7,50,0.5,0.0561039979377256,0.04534963582372046,0.06607657386153987
0.0,gru_residual_seed7,100,1.0,0.05923148144760087,0.04785328681983424,0.06973407030367186
0.0,gru_residual_seed7,200,2.0,0.05972515763202476,0.04827367947384259,0.07029869497645151
0.0,gru_residual_seed19,10,0.1,0.08697096500702185,0.07020215242519094,0.10241717438526303
0.0,gru_residual_seed19,50,0.5,0.059125965566416354,0.04804217879763356,0.06947847346178719
0.0,gru_residual_seed19,100,1.0,0.05827128464319102,0.047303132031665224,0.06849292820620868
0.0,gru_residual_seed19,200,2.0,0.05946671841132073,0.04831912023312273,0.06986289344653605
0.0,gru_residual_seed31,10,0.1,0.06286320819543324,0.050951684608105965,0.07381256892274299
0.0,gru_residual_seed31,50,0.5,0.05881761239465976,0.04790994198014634,0.06899184565125391
0.0,gru_residual_seed31,100,1.0,0.05185355595846235,0.042291388257480425,0.06081034592680647
0.0,gru_residual_seed31,200,2.0,0.052826450322146744,0.04295372723555282,0.06200359564220397
0.0,jepa_residual_seed7,10,0.1,0.3405014683716611,0.32208236591023287,0.35917519266524395
0.0,jepa_residual_seed7,50,0.5,0.4178182028486118,0.4090655321452042,0.42742533558282786
0.0,jepa_residual_seed7,100,1.0,0.35585977355208387,0.3466648942332439,0.3657482801066444
0.0,jepa_residual_seed7,200,2.0,0.3153004004961801,0.30673871996259416,0.3241411922688598
0.0,jepa_residual_seed19,10,0.1,0.39554667510326486,0.3868588068961297,0.4054220046170387
0.0,jepa_residual_seed19,50,0.5,0.53467160017115,0.5274661927684309,0.542096784627617
0.0,jepa_residual_seed19,100,1.0,0.5748674698415961,0.5680838402692682,0.5820295255137455
