epsilon,sequence_index,method,control_sensitivity_rad_s_per_control
0.02,13,nominal_physics,0.867654110265903
0.02,13,calibrated_physics,0.867654110265903
0.02,14,rk4_oracle,0.6760917915471509
0.02,14,nominal_physics,0.6760917915471509
0.02,14,calibrated_physics,0.6760917915471509
0.02,15,rk4_oracle,0.7387506798295362
0.02,15,nominal_physics,0.7387506798295362
0.02,15,calibrated_physics,0.7387506798295362
0.02,16,rk4_oracle,0.7808440579992748
0.02,16,nominal_physics,0.7808440579992748
0.02,16,calibrated_physics,0.7808440579992748
0.02,17,rk4_oracle,0.8872317499708515
0.02,17,nominal_physics,0.8872317499708515
0.02,17,calibrated_physics,0.8872317499708515
0.02,18,rk4_oracle,0.7166331403141157
0.02,18,nominal_physics,0.7166331403141157
0.02,18,calibrated_physics,0.7166331403141157
0.02,19,rk4_oracle,0.7567996362922713
0.02,19,nominal_physics,0.7567996362922713
0.02,19,calibrated_physics,0.7567996362922713
0.02,20,rk4_oracle,0.7633419591002166
0.02,20,nominal_physics,0.7633419591002166
0.02,20,calibrated_physics,0.7633419591002166
0.02,21,rk4_oracle,0.8227169161045822
0.02,21,nominal_physics,0.8227169161045822
0.02,21,calibrated_physics,0.8227169161045822
0.02,22,rk4_oracle,0.7390270928908649
0.02,22,nominal_physics,0.7390270928908649
0.02,22,calibrated_physics,0.7390270928908649
0.02,23,rk4_oracle,0.6846363771728647
0.02,23,nominal_physics,0.6846363771728647
0.02,23,calibrated_physics,0.6846363771728647
0.02,24,rk4_oracle,0.6896416709878395
0.02,24,nominal_physics,0.6896416709878395
0.02,24,calibrated_physics,0.6896416709878395
0.02,25,rk4_oracle,0.628672885341075
0.02,25,nominal_physics,0.628672885341075
0.02,25,calibrated_physics,0.628672885341075
0.02,26,rk4_oracle,0.8821484902910015
0.02,26,nominal_physics,0.8821484902910015
0.02,26,calibrated_physics,0.8821484902910015
0.02,27,rk4_oracle,0.962221777740524
0.02,27,nominal_physics,0.962221777740524
0.02,27,calibrated_physics,0.962221777740524
0.02,28,rk4_oracle,0.7180871011769341
0.02,28,nominal_physics,0.7180871011769341
0.02,28,calibrated_physics,0.7180871011769341
0.02,29,rk4_oracle,0.7463754656100718
0.02,29,nominal_physics,0.7463754656100718
0.02,29,calibrated_physics,0.7463754656100718
0.05,0,rk4_oracle,0.9391116492452056
0.05,0,nominal_physics,0.9391116492452056
0.05,0,calibrated_physics,0.9391116492452056
0.05,1,rk4_oracle,0.9577123267945353
0.05,1,nominal_physics,0.9577123267945353
0.05,1,calibrated_physics,0.9577123267945353
0.05,2,rk4_oracle,0.8151866768457694
0.05,2,nominal_physics,0.8151866768457694
0.05,2,calibrated_physics,0.8151866768457694
0.05,3,rk4_oracle,0.8992511061478581
0.05,3,nominal_physics,0.8992511061478581
0.05,3,calibrated_physics,0.8992511061478581
0.05,4,rk4_oracle,0.7514059370805626
0.05,4,nominal_physics,0.7514059370805626
0.05,4,calibrated_physics,0.7514059370805626
0.05,5,rk4_oracle,0.7528342968043944
0.05,5,nominal_physics,0.7528342968043944
0.05,5,calibrated_physics,0.7528342968043944
0.05,6,rk4_oracle,0.7504102529765078
0.05,6,nominal_physics,0.7504102529765078
0.05,6,calibrated_physics,0.7504102529765078
0.05,7,rk4_oracle,0.6890528305802945
0.05,7,nominal_physics,0.6890528305802945
0.05,7,calibrated_physics,0.6890528305802945
0.05,8,rk4_oracle,0.7176260976393678
0.05,8,nominal_physics,0.7176260976393678
0.05,8,calibrated_physics,0.7176260976393678
0.05,9,rk4_oracle,0.6794728182057952
0.05,9,nominal_physics,0.6794728182057952
0.05,9,calibrated_physics,0.6794728182057952
0.05,10,rk4_oracle,0.7564593721554047
0.05,10,nominal_physics,0.7564593721554047
0.05,10,calibrated_physics,0.7564593721554047
0.05,11,rk4_oracle,0.7125592719603446
0.05,11,nominal_physics,0.7125592719603446
0.05,11,calibrated_physics,0.7125592719603446
0.05,12,rk4_oracle,0.9483144953037481
0.05,12,nominal_physics,0.9483144953037481
0.05,12,calibrated_physics,0.9483144953037481
0.05,13,rk4_oracle,0.8915644605167472
0.05,13,nominal_physics,0.8915644605167472
0.05,13,calibrated_physics,0.8915644605167472
0.05,14,rk4_oracle,0.8507989463168997
0.05,14,nominal_physics,0.8507989463168997
0.05,14,calibrated_physics,0.8507989463168997
0.05,15,rk4_oracle,0.8039406048965247
0.05,15,nominal_physics,0.8039406048965247
0.05,15,calibrated_physics,0.8039406048965247
0.05,16,rk4_oracle,0.7363820583350389
0.05,16,nominal_physics,0.7363820583350389
0.05,16,calibrated_physics,0.7363820583350389
0.05,17,rk4_oracle,0.6818698381039212
0.05,17,nominal_physics,0.6818698381039212
0.05,17,calibrated_physics,0.6818698381039212
0.05,18,rk4_oracle,0.7830155914234638
0.05,18,nominal_physics,0.7830155914234638
0.05,18,calibrated_physics,0.7830155914234638
0.05,19,rk4_oracle,0.7519576632830649
0.05,19,nominal_physics,0.7519576632830649
0.05,19,calibrated_physics,0.7519576632830649
0.05,20,rk4_oracle,0.8200610415087795
0.05,20,nominal_physics,0.8200610415087795
0.05,20,calibrated_physics,0.8200610415087795
0.05,21,rk4_oracle,0.8909455436878488
0.05,21,nominal_physics,0.8909455436878488
0.05,21,calibrated_physics,0.8909455436878488
0.05,22,rk4_oracle,0.9236852383764926
0.05,22,nominal_physics,0.9236852383764926
0.05,22,calibrated_physics,0.9236852383764926
0.05,23,rk4_oracle,0.9412993375690348
0.05,23,nominal_physics,0.9412993375690348
0.05,23,calibrated_physics,0.9412993375690348
0.05,24,rk4_oracle,0.7832656257278359
0.05,24,nominal_physics,0.7832656257278359
0.05,24,calibrated_physics,0.7832656257278359
0.05,25,rk4_oracle,0.9332872116374347
0.05,25,nominal_physics,0.9332872116374347
0.05,25,calibrated_physics,0.9332872116374347
0.05,26,rk4_oracle,0.8601023750998138
0.05,26,nominal_physics,0.8601023750998138
0.05,26,calibrated_physics,0.8601023750998138
0.05,27,rk4_oracle,0.7831813866232551
0.05,27,nominal_physics,0.7831813866232551
0.05,27,calibrated_physics,0.7831813866232551
0.05,28,rk4_oracle,0.8594620925350682
0.05,28,nominal_physics,0.8594620925350682
0.05,28,calibrated_physics,0.8594620925350682
0.05,29,rk4_oracle,0.9322132859779231
0.05,29,nominal_physics,0.9322132859779231
0.05,29,calibrated_physics,0.9322132859779231
0.1,0,rk4_oracle,0.749423679735628
0.1,0,nominal_physics,0.749423679735628
0.1,0,calibrated_physics,0.749423679735628
0.1,1,rk4_oracle,0.7229966138311283
0.1,1,nominal_physics,0.7229966138311283
