variant,seed,epoch,train_prediction_loss,test_prediction_loss,variance_loss,covariance_loss,embedding_std_mean,embedding_std_min,embedding_std_max,embedding_effective_rank
prediction_only,7,1,0.01671256683766842,0.014406495727598667,0.0,0.0,0.0019563166424632072,7.387513323919848e-05,0.005992224905639887,1.4492874145507812
prediction_only,7,10,0.003332603955641389,0.002680357778444886,0.0,0.0,0.007171803619712591,0.0015256156912073493,0.017404282465577126,1.2355685234069824
prediction_only,7,20,0.00025463924976065755,0.00030198783497326076,0.0,0.0,0.00754208629950881,0.000505984527990222,0.019805973395705223,1.2302552461624146
prediction_only,7,30,0.00010305549949407578,8.508676546625793e-05,0.0,0.0,0.004759383387863636,0.0013560473453253508,0.011607258580625057,1.377333641052246
prediction_only,7,40,5.887630322831683e-05,6.174527516122907e-05,0.0,0.0,0.00357462908141315,0.0011635421542450786,0.007996471598744392,1.5408174991607666
prediction_only,7,50,2.348107227589935e-05,2.3322687411564402e-05,0.0,0.0,0.003559960750862956,0.0006042445311322808,0.008081739768385887,1.5888127088546753
prediction_only,7,60,1.357963355985703e-05,1.7258289517485537e-05,0.0,0.0,0.0036945564206689596,0.00094232038827613,0.00877792201936245,1.606453537940979
prediction_only,7,70,1.2535933819890488e-05,1.5553740013274364e-05,0.0,0.0,0.003884882666170597,0.0010110491421073675,0.009357020258903503,1.6182283163070679
prediction_only,7,80,1.1102578355348669e-05,1.4755574738956057e-05,0.0,0.0,0.004194328561425209,0.0012332787737250328,0.010393311269581318,1.6169524192810059
prediction_only,7,90,1.0167138498218264e-05,1.3828545888827648e-05,0.0,0.0,0.004533152095973492,0.0011721659684553742,0.011343399062752724,1.6174702644348145
prediction_only,7,100,9.920689080900047e-06,1.3703908734896686e-05,0.0,0.0,0.004925703629851341,0.0005236256401985884,0.01256527565419674,1.6060175895690918
prediction_only,7,110,9.931107342708856e-06,1.3647972082253546e-05,0.0,0.0,0.005432011093944311,0.0009734767954796553,0.0140333017334342,1.5672260522842407
prediction_only,7,120,1.0043170732387807e-05,1.3851964467903599e-05,0.0,0.0,0.006030444987118244,0.0016060617053881288,0.015918778255581856,1.500314712524414
prediction_only,7,130,1.0184222446696367e-05,1.3970549844088964e-05,0.0,0.0,0.006641225423663855,0.0014837507624179125,0.018138738349080086,1.4317936897277832
prediction_only,7,140,1.043763586494606e-05,1.4239421943784691e-05,0.0,0.0,0.007186385802924633,0.0014168587513267994,0.0199903417378664,1.3823050260543823
prediction_only,7,150,1.0746202860900667e-05,1.4549483239534311e-05,0.0,0.0,0.007659516297280788,0.0013780859299004078,0.021469419822096825,1.3536816835403442
prediction_only,7,160,1.6902138668228872e-05,1.8097180145559832e-05,0.0,0.0,0.008212065324187279,0.0013025173684582114,0.023089952766895294,1.3295354843139648
prediction_only,7,170,1.1762043868657202e-05,1.7030568415066227e-05,0.0,0.0,0.008658918552100658,0.0013021333143115044,0.024139858782291412,1.3209805488586426
prediction_only,7,180,1.5767394870636053e-05,1.9736104150069878e-05,0.0,0.0,0.009202199056744576,0.0012730540474876761,0.025452837347984314,1.3118220567703247
prediction_only,17,1,0.015999512746930122,0.01374018657952547,0.0,0.0,0.00196774210780859,0.00026140036061406136,0.004796318709850311,1.5426082611083984
prediction_only,17,10,0.0023257206194102764,0.001913015847094357,0.0,0.0,0.007272408809512854,0.0011455233907327056,0.014877934008836746,1.2024697065353394
prediction_only,17,20,0.0002931943454314023,0.0003224115935154259,0.0,0.0,0.00723690539598465,0.0009258282952941954,0.013478453271090984,1.2017728090286255
prediction_only,17,30,0.00018836911476682872,0.0001570051972521469,0.0,0.0,0.0054668947122991085,0.0012467453489080071,0.009884178638458252,1.2593703269958496
prediction_only,17,40,4.412261114339344e-05,4.3271080357953906e-05,0.0,0.0,0.0038761019241064787,0.0004961589002050459,0.007842333056032658,1.3476204872131348
prediction_only,17,50,2.670495814527385e-05,2.770773608062882e-05,0.0,0.0,0.003446616232395172,0.0009494576370343566,0.006959285121411085,1.3919103145599365
prediction_only,17,60,1.2991992662136909e-05,1.4293071217252873e-05,0.0,0.0,0.0035860720090568066,0.0009738562512211502,0.007300494704395533,1.381539225578308
prediction_only,17,70,1.1297919627395459e-05,1.2628197509911843e-05,0.0,0.0,0.0038051409646868706,0.0007756093400530517,0.008117691613733768,1.3598906993865967
prediction_only,17,80,7.989875484781805e-06,1.040838560584234e-05,0.0,0.0,0.004048206377774477,0.0006762410630472004,0.008865992538630962,1.3399087190628052
prediction_only,17,90,7.566938620584551e-06,9.637051334721036e-06,0.0,0.0,0.004409583285450935,0.000710001215338707,0.009880986995995045,1.313396692276001
prediction_only,17,100,7.510069281124743e-06,9.627648978494108e-06,0.0,0.0,0.004841666668653488,0.0009196216706186533,0.011024974286556244,1.2867765426635742
prediction_only,17,110,7.166733212216059e-06,9.356543159810826e-06,0.0,0.0,0.005318311974406242,0.0007621323456987739,0.012295646592974663,1.2633641958236694
prediction_only,17,120,7.064792043820489e-06,9.304032573709264e-06,0.0,0.0,0.005853663664311171,0.000502255919855088,0.013697771355509758,1.2422088384628296
prediction_only,17,130,7.077913323882967e-06,9.313686859968584e-06,0.0,0.0,0.006464804522693157,0.0006098627927713096,0.01525868196040392,1.2236531972885132
prediction_only,17,140,7.130214726203121e-06,9.453907296119723e-06,0.0,0.0,0.007162567228078842,0.0011428103316575289,0.016993902623653412,1.2075306177139282
prediction_only,17,150,7.2673956310609356e-06,9.672195119492244e-06,0.0,0.0,0.007955847308039665,0.0010431124828755856,0.018940793350338936,1.193477988243103
prediction_only,17,160,7.48336697142804e-06,9.999766916735098e-06,0.0,0.0,0.008859306573867798,0.0007866992964409292,0.0211482010781765,1.1812394857406616
prediction_only,17,170,7.764450856484473e-06,1.0407666195533238e-05,0.0,0.0,0.00990997813642025,0.0009247235720977187,0.023670386523008347,1.170536756515503
prediction_only,17,180,8.096345482044853e-06,1.0885058145504445e-05,0.0,0.0,0.011143200099468231,0.0015969114610925317,0.02659034915268421,1.1610745191574097
prediction_only,27,1,0.011083770543336868,0.009213178418576717,0.0,0.0,0.0019319055136293173,0.0001273084490094334,0.0049746399745345116,1.407791256904602
prediction_only,27,10,0.0011645867489278316,0.0009352589258924127,0.0,0.0,0.007610629312694073,0.00013906884123571217,0.02212887443602085,1.1146818399429321
prediction_only,27,20,0.00039372622268274426,0.0003486210771370679,0.0,0.0,0.004664242267608643,0.00042476298403926194,0.014821872115135193,1.1716262102127075
prediction_only,27,30,9.342691919300705e-05,8.574073581257835e-05,0.0,0.0,0.003970695193856955,3.927742727682926e-05,0.013032530434429646,1.197458028793335
prediction_only,27,40,3.106517033302225e-05,3.396715328563005e-05,0.0,0.0,0.0032065666746348143,0.00021417716925498098,0.01049591414630413,1.2378692626953125
prediction_only,27,50,1.557771065563429e-05,1.7389666027156636e-05,0.0,0.0,0.003131117206066847,0.00024921700241975486,0.009996866807341576,1.242496132850647
prediction_only,27,60,1.584411620569881e-05,1.8965018171002157e-05,0.0,0.0,0.003115276340395212,6.507506623165682e-05,0.00961912889033556,1.2444519996643066
prediction_only,27,70,1.023834465740947e-05,1.3127564670867287e-05,0.0,0.0,0.003130523255094886,0.0002714857691898942,0.009318777360022068,1.2438466548919678
prediction_only,27,80,9.285533451475203e-06,1.2605099982465617e-05,0.0,0.0,0.00319411582313478,0.0002810890437103808,0.009063166566193104,1.2403547763824463
prediction_only,27,90,9.729295015858952e-06,1.2967249858775176e-05,0.0,0.0,0.003307224018499255,0.0002914709912147373,0.008998126722872257,1.2334266901016235
prediction_only,27,100,9.399748705618549e-06,1.2666760085267015e-05,0.0,0.0,0.0034438655711710453,0.0003205531684216112,0.008897250518202782,1.2253718376159668
prediction_only,27,110,9.16982662602095e-06,1.2426844477886334e-05,0.0,0.0,0.0036194934509694576,0.00034294469514861703,0.0088594825938344,1.2158421277999878
prediction_only,27,120,9.01457588042831e-06,1.2251613043190446e-05,0.0,0.0,0.003835942130535841,0.00038616330130025744,0.00884641520678997,1.2051286697387695
prediction_only,27,130,8.872689249983523e-06,1.2033451639581472e-05,0.0,0.0,0.004117936827242374,0.00044409610563889146,0.009556913748383522,1.1931912899017334
prediction_only,27,140,8.641023669042625e-06,1.1760083907574881e-05,0.0,0.0,0.004473649896681309,0.0002105104213114828,0.010552595369517803,1.18051016330719
prediction_only,27,150,8.42691952129826e-06,1.1467552212707233e-05,0.0,0.0,0.004930194467306137,0.00042101179133169353,0.011722035706043243,1.1671550273895264
prediction_only,27,160,8.173886271833908e-06,1.1126462595711928e-05,0.0,0.0,0.005490860901772976,0.0007676550303585827,0.01312074065208435,1.153321385383606
prediction_only,27,170,7.877228199504316e-06,1.0732014743553009e-05,0.0,0.0,0.00616610050201416,0.0009530973038636148,0.014805179089307785,1.1392979621887207
prediction_only,27,180,7.540928436355898e-06,1.0275593922415283e-05,0.0,0.0,0.006986911408603191,0.00119693111628294,0.016860608011484146,1.1253304481506348
prediction_plus_vc,7,1,0.01671256683766842,0.014613672159612179,0.03971153125166893,2.8590277714735102e-11,0.0019563166424632072,7.387513323919848e-05,0.005992224905639887,1.4492874145507812
prediction_plus_vc,7,10,0.003931786399334669,0.0032961606048047543,0.02395719289779663,4.4279173039285524e-07,0.023750729858875275,0.006883388850837946,0.05222243443131447,1.0808193683624268
prediction_plus_vc,7,20,0.005092797800898552,0.0030869427137076855,0.0,0.00019785611948464066,0.11607226729393005,0.060068149119615555,0.19735047221183777,1.0332703590393066
prediction_plus_vc,7,30,0.0016850187676027417,0.0013022659113630652,0.0,3.333997665322386e-05,0.07585769891738892,0.057832974940538406,0.10962999612092972,1.031225562095642
prediction_plus_vc,7,40,0.0005992794176563621,0.0005603876779787242,2.0750643670908175e-05,1.5187041753961239e-05,0.06242329999804497,0.048481401056051254,0.0817524865269661,1.03252112865448
prediction_plus_vc,7,50,0.00030848701135255396,0.00034072782727889717,0.0,1.3159645277482923e-05,0.060419246554374695,0.04977957159280777,0.07519259303808212,1.033205509185791
