train_horizon,seed,endpoint_probe_rmse_rad_s,final_train_latent_loss,final_test_latent_loss
1,7,28.276424407958984,1.7382794794684742e-06,2.1355047010729322e-06
1,17,28.514446258544922,5.817224973725388e-06,7.3986861934827175e-06
1,27,28.80729103088379,1.3005862911086297e-06,1.714585664558399e-06
10,7,30.611106872558594,8.867066208040342e-05,0.00010200079123023897
10,17,30.900928497314453,0.00011335487943142653,9.875321120489389e-05
10,27,30.0794677734375,4.013660145574249e-05,5.005387356504798e-05
