configuration,seed,gradient_step,train_latent_loss,embedding_std_mean,embedding_std_min,embedding_std_max,effective_rank
norm_0_loss_l2_ema_fixed,7,20,0.00025700870901346207,0.007835473865270615,0.0006040658336132765,0.02050064504146576,1.2001312971115112
norm_0_loss_l2_ema_fixed,7,40,5.947068348177709e-05,0.003777327947318554,0.000990980421192944,0.00929755438119173,1.42888343334198
norm_0_loss_l2_ema_fixed,7,60,1.4291236766439397e-05,0.0038676150143146515,0.000928745896089822,0.01007862389087677,1.4803071022033691
norm_0_loss_l2_ema_fixed,7,80,1.1748152246582322e-05,0.0043669757433235645,0.000972751178778708,0.011913314461708069,1.4740548133850098
norm_0_loss_l2_ema_fixed,7,100,1.0400172868685331e-05,0.005176460836082697,0.0003912943066097796,0.014432606287300587,1.4395378828048706
norm_0_loss_l2_ema_fixed,7,120,1.0308976925443858e-05,0.006451284978538752,0.0013447270030155778,0.017960377037525177,1.3707326650619507
norm_0_loss_l2_ema_fixed,7,140,1.046796933223959e-05,0.007823352701961994,0.0011789859272539616,0.02258906327188015,1.295874834060669
norm_0_loss_l2_ema_fixed,7,160,2.024602326855529e-05,0.009122383780777454,0.0009077808354049921,0.026670578867197037,1.2490251064300537
norm_0_loss_l2_ema_fixed,7,180,1.6766223779995926e-05,0.01018678117543459,0.0007763213361613452,0.029309377074241638,1.2279975414276123
norm_0_loss_l2_ema_fixed,7,200,1.3630575267598033e-05,0.011591225862503052,0.0006301968824118376,0.032799750566482544,1.2068369388580322
norm_0_loss_l2_ema_fixed,7,220,1.540392986498773e-05,0.013134337961673737,0.0006742915138602257,0.0364401638507843,1.188244342803955
norm_0_loss_l2_ema_fixed,7,240,1.4604132957174443e-05,0.014714163728058338,0.0008676552679389715,0.04005786404013634,1.1717435121536255
norm_0_loss_l2_ema_fixed,7,260,1.827842424972914e-05,0.01676974631845951,0.0011231303215026855,0.04567167907953262,1.1559301614761353
norm_0_loss_l2_ema_fixed,7,280,3.744748391909525e-05,0.018169468268752098,0.0009357674862258136,0.049437038600444794,1.1484936475753784
norm_0_loss_l2_ema_fixed,7,300,1.7365236999467015e-05,0.02109362743794918,0.0006695805350318551,0.0575290210545063,1.130834937095642
norm_0_loss_l2_ema_fixed,7,320,0.00011749525583581999,0.022906700149178505,0.0006518944283016026,0.06226624920964241,1.12992262840271
norm_0_loss_l2_ema_fixed,7,340,2.03316976694623e-05,0.02588503062725067,0.0009018800919875503,0.07031094282865524,1.1206660270690918
norm_0_loss_l2_ema_fixed,7,360,0.00021692652080673724,0.02805734984576702,0.0011340173659846187,0.07584339380264282,1.120919108390808
norm_0_loss_l2_ema_fixed,7,380,2.7793344997917302e-05,0.03036501072347164,0.0015015657991170883,0.08192090690135956,1.1168482303619385
norm_0_loss_l2_ema_fixed,7,400,1.4365757124323864e-05,0.03382979333400726,0.002149924635887146,0.09091921895742416,1.1132622957229614
norm_0_loss_l2_ema_fixed,7,420,8.426963904639706e-05,0.03465047851204872,0.0023376515600830317,0.09248549491167068,1.1218507289886475
norm_0_loss_l2_ema_fixed,7,440,4.043913577334024e-05,0.03948410972952843,0.0022517566103488207,0.10490550845861435,1.1147550344467163
norm_0_loss_l2_ema_fixed,7,460,0.0003162715584039688,0.04124986752867699,0.0019449909450486302,0.10867935419082642,1.1222045421600342
norm_0_loss_l2_ema_fixed,7,480,1.4767116226721555e-05,0.0448930561542511,0.002122953999787569,0.1180148795247078,1.1163585186004639
norm_0_loss_l2_ema_fixed,7,500,1.7379996279487386e-05,0.047604937106370926,0.001902970252558589,0.12379243224859238,1.1216678619384766
norm_0_loss_l2_ema_fixed,7,520,5.887149745831266e-05,0.04815594479441643,0.001975063467398286,0.12426899373531342,1.129663348197937
norm_0_loss_l2_ema_fixed,7,540,3.593360088416375e-05,0.05462159588932991,0.0024101624730974436,0.13996072113513947,1.1200367212295532
norm_0_loss_l2_ema_fixed,7,560,1.0888819815590978e-05,0.05760036036372185,0.0026719195302575827,0.14632391929626465,1.1230725049972534
norm_0_loss_l2_ema_fixed,7,580,1.304671422985848e-05,0.0597129762172699,0.0030666368547827005,0.15080781280994415,1.1254875659942627
norm_0_loss_l2_ema_fixed,7,600,4.566530151350889e-06,0.06341438740491867,0.0034736404195427895,0.15906420350074768,1.1261502504348755
norm_0_loss_l2_ema_fixed,7,620,6.582451078429585e-06,0.06647409498691559,0.003597161965444684,0.16586315631866455,1.1272008419036865
norm_0_loss_l2_ema_fixed,7,640,1.3286786270327866e-05,0.07020554691553116,0.0037509207613766193,0.1741977483034134,1.1275218725204468
norm_0_loss_l2_ema_fixed,7,660,0.00011364901001797989,0.07275840640068054,0.0038209666963666677,0.17933979630470276,1.1301668882369995
norm_0_loss_l2_ema_fixed,7,680,0.0001205325243063271,0.07482213526964188,0.0038381353951990604,0.18410851061344147,1.1317331790924072
norm_0_loss_l2_ema_fixed,7,700,0.00010381529136793688,0.07669512182474136,0.0036565298214554787,0.18818336725234985,1.1337600946426392
norm_0_loss_l2_ema_fixed,7,720,9.20610546017997e-06,0.08213133364915848,0.003873225999996066,0.1998148262500763,1.133409023284912
norm_0_loss_l2_ema_fixed,7,740,2.0326573576312512e-05,0.08465129882097244,0.003999979235231876,0.20462052524089813,1.1362180709838867
norm_0_loss_l2_ema_fixed,7,760,0.00017336371820420027,0.08741438388824463,0.004068305250257254,0.21037617325782776,1.1379544734954834
norm_0_loss_l2_ema_fixed,7,780,1.8148419258068316e-05,0.0892091915011406,0.003630406688898802,0.21449771523475647,1.139961838722229
norm_0_loss_l2_ema_fixed,7,800,9.33807223191252e-06,0.09245618432760239,0.0038458595518022776,0.22153794765472412,1.1411303281784058
norm_0_loss_l2_ema_fixed,7,820,7.647497113794088e-05,0.09278032183647156,0.0037199726793915033,0.22128665447235107,1.1456329822540283
norm_0_loss_l2_ema_fixed,7,840,4.144658305449411e-05,0.09817007929086685,0.0037292030174285173,0.2337360829114914,1.1450061798095703
norm_0_loss_l2_ema_fixed,7,860,7.252825071191182e-06,0.09958045929670334,0.0038967556320130825,0.23628298938274384,1.1475300788879395
norm_0_loss_l2_ema_fixed,7,880,1.6275844245683402e-05,0.10136816650629044,0.003999669570475817,0.23997345566749573,1.149598240852356
norm_0_loss_l2_ema_fixed,7,900,1.7381882571498863e-05,0.10262852907180786,0.004102292936295271,0.24231362342834473,1.153448224067688
norm_0_loss_l2_ema_fixed,7,920,2.6529687602305785e-05,0.10665903240442276,0.004106253385543823,0.25162771344184875,1.1539149284362793
norm_0_loss_l2_ema_fixed,7,940,8.519346010871232e-06,0.10811402648687363,0.004620429128408432,0.25424501299858093,1.1562634706497192
norm_0_loss_l2_ema_fixed,7,960,9.575593139743432e-06,0.10955408215522766,0.005033131688833237,0.2571529746055603,1.1588317155838013
norm_0_loss_l2_ema_fixed,7,980,2.8292215574765578e-05,0.11223544925451279,0.005556244403123856,0.2619657516479492,1.1625077724456787
norm_0_loss_l2_ema_fixed,7,1000,1.069893733074423e-05,0.11390051990747452,0.0058671459555625916,0.26589256525039673,1.1643426418304443
norm_0_loss_l2_ema_fixed,7,1020,7.583440492453519e-06,0.11497991532087326,0.0065778582356870174,0.26750579476356506,1.1667299270629883
norm_0_loss_l2_ema_fixed,7,1040,7.442093192366883e-06,0.1162608191370964,0.0073160347528755665,0.26966679096221924,1.1701271533966064
norm_0_loss_l2_ema_fixed,7,1060,6.94351138008642e-06,0.11740534752607346,0.007782928179949522,0.27152854204177856,1.1739871501922607
norm_0_loss_l2_ema_fixed,7,1080,0.0005172402015887201,0.11616513878107071,0.007967459969222546,0.2686184346675873,1.1793686151504517
norm_0_loss_l2_ema_fixed,7,1100,2.7683470761985518e-05,0.1193285584449768,0.008063264191150665,0.27438002824783325,1.1785004138946533
norm_0_loss_l2_ema_fixed,7,1120,1.1429513506300282e-05,0.12149140238761902,0.008058321662247181,0.278138667345047,1.1818435192108154
norm_0_loss_l2_ema_fixed,7,1140,7.3251203502877615e-06,0.12271946668624878,0.00818157009780407,0.27983835339546204,1.187058925628662
norm_0_loss_l2_ema_fixed,7,1160,6.56971087664715e-06,0.12359276413917542,0.008325423114001751,0.2809687852859497,1.1923813819885254
norm_0_loss_l2_ema_fixed,7,1180,6.276965905271936e-06,0.12428417056798935,0.008477836847305298,0.28169065713882446,1.1977767944335938
norm_0_loss_l2_ema_fixed,7,1200,6.072224550734973e-06,0.12491554021835327,0.008644095622003078,0.28230851888656616,1.203315019607544
norm_0_loss_l2_ema_fixed,7,1220,5.872396286576986e-06,0.12548471987247467,0.008832324296236038,0.2827991247177124,1.2091227769851685
