epsilon,method,endpoint_rmse_rad_s,endpoint_r2,full_trajectory_rmse_rad_s,endpoint_skill_vs_persistence,ode_residual_rmse_N_m,endpoint_rmse_ci95_low_rad_s,endpoint_rmse_ci95_high_rad_s,full_rmse_ci95_low_rad_s,full_rmse_ci95_high_rad_s
0.0,nominal_physics,0.7358812740833643,0.9852748397101885,5.392056481200602,0.9999903069781846,0.3232278383459945,0.49175908818687075,0.9972636297138551,4.193223886914885,6.536995701241041
0.0,calibrated_physics,0.00045701802699119656,0.9999999943204858,0.0003374555896789585,0.9999999999962614,0.04694141759697794,0.0003437042132909363,0.0005662111146427131,0.0002575953436483265,0.0004157193488938173
0.0,gru_residual_seed7,0.020002709893736075,0.9999891201677242,0.05972515763202476,0.9999999928382137,0.1505748838288027,0.015087685860261428,0.024653385861053454,0.04827367947384259,0.07029869497645151
0.0,gru_residual_seed19,0.10414146127728599,0.9997050883953045,0.05946671841132072,0.99999980587073,0.15278540692142353,0.08320098735904517,0.12318677401623669,0.04831912023312273,0.06986289344653605
0.0,gru_residual_seed31,0.14254396077052875,0.9994474874186018,0.05282645032214674,0.9999996363016498,0.13593307880766897,0.11492211553209643,0.16795959625299448,0.04295372723555282,0.06200359564220397
0.0,jepa_residual_seed7,0.14678395328879235,0.9994141294224717,0.31530040049618013,0.9999996143433295,0.7845776090940004,0.11967073368073766,0.17225148950661862,0.30673871996259416,0.3241411922688598
0.0,jepa_residual_seed19,0.6099924252067446,0.989882029430208,0.5792890115914803,0.9999933397187175,1.6263879620368384,0.5816448882451877,0.6379439340431805,0.5719658402482292,0.5869825008656804
0.0,jepa_residual_seed31,0.55951397872976,0.9914873179971575,0.42897742460874433,0.9999943964200907,1.1297481353800236,0.5290022728957502,0.5899562652909871,0.42685807413279026,0.4312896104983653
0.1,nominal_physics,0.7346866137939285,0.98531907971838,5.388359272555242,0.9999903316799909,0.32353611692916556,0.49184938365967673,0.9953823130247237,4.192982652314758,6.527523099366714
0.1,calibrated_physics,0.19082839183230785,0.9990095444103053,0.13020010999890919,0.9999993477219812,0.05002985359241536,0.17933173575628722,0.20201900351683932,0.12342604287432954,0.1367530308135865
0.1,gru_residual_seed7,0.01729693812864068,0.9999918625657892,0.06225750555375504,0.9999999946409819,0.15381024533033644,0.012620974756072061,0.021653305418915896,0.05108028162606901,0.07282286623512461
0.1,gru_residual_seed19,0.08585301653816999,0.99979952503567,0.060260818812285157,0.9999998679744817,0.15255442780871534,0.06843338936929032,0.10260419104206932,0.04938639106651374,0.07048651982567393
0.1,gru_residual_seed31,0.12619375419179218,0.9995668635351102,0.05482105856293867,0.9999997147520816,0.1366137170239189,0.10142180429033633,0.1492700761931446,0.04495112022244121,0.0640170195412657
0.1,jepa_residual_seed7,0.4633989295135636,0.9941593782830259,0.299202896493266,0.9999961535790176,0.8113842676368296,0.40918499803781844,0.5154418877088865,0.2877202704250097,0.3116904152774782
0.1,jepa_residual_seed19,0.7002878185865896,0.9866616481203764,0.5592009285723188,0.999991215846698,1.5055610544933025,0.5770245334682662,0.8121384181548493,0.5421629486082228,0.5780769839602493
0.1,jepa_residual_seed31,0.2638260189789834,0.9981068532731103,0.40983596153116353,0.9999987532424379,1.1166444225020382,0.22189781639198825,0.3039005539350173,0.40446328777319673,0.4155512196671058
0.2,nominal_physics,0.7332120084159975,0.9853735602707235,5.383866074475981,0.9999903620509794,0.3239235903116509,0.4917833129626116,0.9932396300977461,4.193636657504301,6.517405120274326
0.2,calibrated_physics,0.42857312926545116,0.9950027697087463,0.29253081725115865,0.9999967071241066,0.055203358807730606,0.4027476441010907,0.4537641956040553,0.27727800330834473,0.30730498313689286
0.2,gru_residual_seed7,0.03267753993276472,0.9999709478554921,0.06906421025057508,0.9999999808563743,0.1566253501846412,0.023928945624588874,0.04063409537450805,0.057499991423518734,0.08026203263385517
0.2,gru_residual_seed19,0.06841631656223815,0.9998726500247266,0.06563309670123853,0.9999999160839826,0.15385549967850753,0.05351908592474425,0.08335262669774235,0.05493243817290163,0.0758900064431967
0.2,gru_residual_seed31,0.10772790324657061,0.999684255421836,0.061734841113352465,0.9999997919432067,0.13898298877248114,0.08632248491523298,0.12884215608788177,0.05187305555020576,0.07118489683678875
0.2,jepa_residual_seed7,0.23637515242374954,0.998479861594306,0.29410974326267325,0.9999989983197053,0.7489180531937197,0.17439682462144307,0.2920375061361137,0.27980613707546753,0.3094768981043901
0.2,jepa_residual_seed19,0.25123301634616035,0.9982827524208795,0.5236010147481691,0.9999988684365485,1.3689001875637659,0.20335742076729751,0.2944376369593572,0.5146095621868041,0.5328382850238345
0.2,jepa_residual_seed31,0.18125534621025177,0.9991061572170573,0.36229708504086455,0.9999994110110639,0.9774509526179129,0.14348024841871942,0.21458490651951495,0.35620649518497727,0.3690231608395147
0.5,nominal_physics,0.7256042355408775,0.9856523608590784,5.362023834126222,0.999990516517066,0.32605210875705803,0.4920130635876667,0.9791850613527098,4.196309138683823,6.46933900422157
0.5,calibrated_physics,1.6963126156741668,0.9215861801037436,1.1602638191866548,0.9999481701403646,0.09573959161822193,1.5947834939661611,1.7956132070301105,1.100080249867211,1.218678870506523
0.5,gru_residual_seed7,0.1379961159984645,0.999481063100243,0.12091241909239057,0.9999996569937963,0.16437681082761438,0.10446562037558922,0.16804708142398284,0.10134217449842936,0.13985760255353807
0.5,gru_residual_seed19,0.10642428057541418,0.9996913528487027,0.12570476712296005,0.9999997959908272,0.17292039637325782,0.07575900363930653,0.13426119418607074,0.10567484518366446,0.14500875611001882
0.5,gru_residual_seed31,0.0980227568900498,0.9997381608077068,0.12765318062787656,0.9999998269298881,0.16744036560491848,0.06935457933546925,0.12558590979377815,0.10716963545138958,0.14756352395483335
0.5,jepa_residual_seed7,0.48319299428509604,0.9936375836618226,0.38735185819706547,0.9999957945787339,0.946976299629591,0.3895267765517485,0.5687105306585444,0.3737804802948742,0.40095564484037444
0.5,jepa_residual_seed19,0.5991265899953903,0.9902182171846149,0.5603678023698917,0.9999935344505474,1.4431085039411125,0.4903877391262644,0.6984548710363436,0.5504558661610371,0.5706157766870302
0.5,jepa_residual_seed31,0.36091508269566713,0.9964503062148495,0.5320827923908743,0.9999976537282474,1.3374592025301488,0.28781208611027403,0.4283732382627689,0.5173586106761512,0.5483275806274139
