predictor,rmse_rad_s,r2,skill_vs_persistence,rmse_ci95_low_rad_s,rmse_ci95_high_rad_s,test_sequences,test_windows
persistence,1.606347787447396,0.9978724154840674,0.0,1.2371546720926059,1.9417728401231693,30,270
two_point_extrapolation,0.009243874496291734,0.9999999295443635,0.9999668846825963,0.006972395228670989,0.011269627973873928,30,270
ols_raw_context,6.809432077363796e-05,0.9999999999961767,0.9999999982030225,6.190284640745516e-05,7.45206580478278e-05,30,270
nominal_analytical,0.46068821600010307,0.9998250065194638,0.9177501625783808,0.36970742289311725,0.5453199310264742,30,270
true_parameter_oracle,3.1919255845938555e-05,0.9999999999991599,0.9999999996051553,2.781217416816621e-05,3.578105767852098e-05,30,270
least_squares_sysid,6.84933405292589e-05,0.9999999999961319,0.999999998181901,6.437730547117757e-05,7.246471605101657e-05,30,270
ols_residual_on_nominal,6.651736330445759e-05,0.9999999999963518,0.9999999982852892,6.0528448458603085e-05,7.271533339737737e-05,30,270
