beta_h,horizon_steps,predictor,rmse_rad_s,r2,skill_vs_persistence,rmse_ci95_low_rad_s,rmse_ci95_high_rad_s
0.01,10,persistence,1.7791334438849087,0.9965941124158327,0.0,1.396545848386319,2.1305643000922396
0.01,10,two_point_extrapolation,0.009924841423722526,0.9999998940110926,0.9999688806794763,0.007692538619730035,0.012010122214914865
0.01,10,ols_raw_context,8.054526948424955e-05,0.9999999999930194,0.9999999979504287,7.13947145720102e-05,8.969026709119153e-05
0.01,10,least_squares_sysid,7.979167022729842e-05,0.9999999999931494,0.9999999979886017,7.202406730288249e-05,8.702889374085249e-05
0.01,10,nominal_analytical,0.17935768143030553,0.9999653858856118,0.9898369768429616,0.12652753767412525,0.22721618111179645
0.01,10,true_parameter_oracle,2.939058705776094e-05,0.9999999999990705,0.9999999997271025,2.550847352843159e-05,3.330061177827456e-05
0.01,10,jepa_context_probe,25.45361677723423,0.3028724201544689,-203.68308557399845,20.217891195975778,30.368843052446508
0.05000000000000001,10,persistence,9.254641976878197,0.9655936027193873,0.0,8.807826580509193,9.670886457916659
0.05000000000000001,10,two_point_extrapolation,0.2594970202313261,0.9999729489139769,0.9992137774320725,0.24369663457777946,0.27434608452391457
0.05000000000000001,10,ols_raw_context,7.13220996033553e-05,0.9999999999979565,0.9999999999406078,6.539577759085156e-05,7.724846799076717e-05
0.05000000000000001,10,least_squares_sysid,6.815103075519242e-05,0.9999999999981342,0.9999999999457717,6.218034649168908e-05,7.367594879944692e-05
0.05000000000000001,10,nominal_analytical,11.592061136908585,0.9460189558483577,-0.5689246308290314,11.285591000799158,11.893445793005302
0.05000000000000001,10,true_parameter_oracle,2.5620352214366975e-05,0.9999999999997363,0.9999999999923361,2.2453606634207277e-05,2.8628396995242223e-05
0.05000000000000001,10,jepa_context_probe,44.694176586344284,0.19754287769826961,-22.322904626050402,41.99078998979352,47.400232047920234
0.25,10,persistence,21.751961261074754,0.8590084768886683,0.0,21.16069593902844,22.31341587325883
0.25,10,two_point_extrapolation,3.1574696123756163,0.9970291924491484,0.978929176128513,3.0323135344241114,3.2785316897640593
0.25,10,ols_raw_context,6.379418402236316e-05,0.9999999999987873,0.9999999999913987,5.56235883853524e-05,7.174192269245376e-05
0.25,10,least_squares_sysid,2.4823241127913476e-05,0.9999999999998164,0.9999999999986977,1.972084094103395e-05,2.970334171886042e-05
0.25,10,nominal_analytical,24.571927520945387,0.8200820014852838,-0.2760908921641114,23.970620885657734,25.165884059197356
0.25,10,true_parameter_oracle,8.120977591682285e-06,0.9999999999999803,0.9999999999998607,7.121353808147459e-06,9.127894859307766e-06
0.25,10,jepa_context_probe,57.11488031990746,0.02793635226100799,-5.894482918461826,55.09419831036747,59.26386436240677
1.0,10,persistence,12.62068884451537,-2.064578330112606,0.0,12.028978814435156,13.251752019652319
1.0,10,two_point_extrapolation,8.278925251824983,-0.318719809454179,0.5696896383765386,8.061624363523308,8.493619257113956
1.0,10,ols_raw_context,3.251109439790025e-05,0.9999999999796639,0.9999999999933642,2.5677313311056703e-05,3.898130657003625e-05
1.0,10,least_squares_sysid,6.335780271800583e-06,0.9999999999992276,0.999999999999748,5.043672732241627e-06,7.5427228594241744e-06
1.0,10,nominal_analytical,15.353210286163337,-3.535268501864688,-0.479899683849178,14.70594922303365,16.05878222942205
1.0,10,true_parameter_oracle,7.621635065662875e-07,0.9999999999999888,0.9999999999999963,6.286375794654702e-07,9.067788668920642e-07
1.0,10,jepa_context_probe,8.288387662341794,-0.32173599787042084,0.5687054284489916,7.552946903011522,9.054834705456374
3.0000000000000004,10,persistence,0.49455602246605934,-0.3323459855911337,0.0,0.412767748134161,0.5742337390502478
3.0000000000000004,10,two_point_extrapolation,1.2315647227679907,-7.262291416149004,-5.201310699700275,1.0790453208539155,1.3861559076799808
3.0000000000000004,10,ols_raw_context,1.813088482301461e-06,0.999999999982093,0.9999999999865598,1.4237964984105745e-06,2.1996679992809417e-06
3.0000000000000004,10,least_squares_sysid,1.132826900573161e-06,0.9999999999930094,0.9999999999947532,8.206127768167011e-07,1.4631879326908141e-06
3.0000000000000004,10,nominal_analytical,5.730421356230734,-177.87891063342684,-133.25860292141914,5.275627840902556,6.166144623387043
3.0000000000000004,10,true_parameter_oracle,1.871508921759736e-07,0.9999999999998092,0.9999999999998568,1.572392406070931e-07,2.1564794823486942e-07
3.0000000000000004,10,jepa_context_probe,3.060248832856256,-50.015190172941644,-37.28974660084805,2.4098486850287495,3.615018618499487
